dataset,method,samples,accuracy,psnr,ssim,lpips
cifar10,Vanilla,10000,0.8719,27.87,0.9447,0.0075
cifar10,Noise,10000,0.8390,18.05,0.6062,0.0599
cifar10,NoPeek,10000,0.8226,23.65,0.8363,0.0244
cifar10,R3eLU,10000,0.5950,20.62,0.6515,0.0717
cifar10,DISCO,10000,0.5534,15.86,0.3083,0.2129
cifar10,MARIO,10000,0.8258,12.51,0.1996,0.4826
celeba,Vanilla,39829,0.9160,27.58,0.8365,0.1817
celeba,Noise,39829,0.9238,13.11,0.4083,0.6953
celeba,NoPeek,39829,0.9251,18.93,0.6483,0.4081
celeba,R3eLU,39829,0.8657,20.72,0.6440,0.3914
celeba,DISCO,39829,0.8979,12.44,0.3477,0.6933
celeba,MARIO,39829,0.9268,10.98,0.4423,0.6734
nih_chest_xray,Vanilla,25596,0.7663,25.15,0.8811,0.2066
nih_chest_xray,Noise,25596,0.7787,16.37,0.5711,0.5589
nih_chest_xray,NoPeek,25596,0.7879,23.24,0.7878,0.3502
nih_chest_xray,R3eLU,25596,0.7172,23.10,0.7826,0.3727
nih_chest_xray,DISCO,25596,0.7198,14.15,0.4910,0.5290
nih_chest_xray,MARIO,25596,0.7706,15.26,0.6137,0.6274
